Date_Collected_yyyy-mm-dd,Sample_Frequency_Hrs,Filter_Tar_(B)_grams_(g),Filter_Sed_(A)_grams_(g),Sediment_grams_(g),Sediment_Calc_grams_(g),Sediment_Check_(Good/Bad)(±5%),Volume_Milliliters_(ml),Sedload_mg/l,Sedload_Calc_mg/l,Sedload_Check_(Good/Bad)(±5%),Nephelometric_Turbidity_Units_(NTU)
1983-04-01,,0.1104,0.1108,0.0004,0.0003999999999999976,True,339.0,1.1799,1.18,True,
1983-04-02,,0.1119,0.1123,0.0004,0.0003999999999999976,True,337.0,1.1869,1.187,True,
1983-04-03,,0.1118,0.1121,0.0003,0.0003000000000000086,True,338.0,0.8876,0.8876,True,
1983-04-04,,0.1106,0.1185,0.0079,0.00789999999999999,True,185.0,42.7027,42.7,True,
1983-04-05,,0.1089,0.1099,0.001,0.0010000000000000009,True,206.0,4.8544,4.854,True,
1983-04-06,,0.11,0.1152,0.0052,0.005199999999999996,True,385.0,13.5065,13.51,True,
1983-04-07,,0.1093,0.1098,0.0005,0.0005000000000000004,True,387.0,1.292,1.292,True,
1983-04-08,,0.109,0.1094,0.0004,0.0003999999999999976,True,388.0,1.0309,1.031,True,
1983-04-09,,0.1104,0.1106,0.0002,0.00020000000000000573,True,386.0,0.5181,0.5181,True,
1983-04-10,,0.1095,0.1097,0.0002,0.00020000000000000573,True,388.0,0.5185,0.5155,True,
1983-04-11,,0.1109,0.111,0.0001,0.00010000000000000286,True,196.0,0.5102,0.5102,True,
1983-04-12,,0.1195,0.1197,0.0002,0.00020000000000000573,True,287.0,0.6969,0.6969,True,
1983-04-13,,0.1103,0.1113,0.001,0.0010000000000000009,True,359.0,2.7855,2.786,True,
1983-04-14,,0.1102,0.1104,0.0002,0.00019999999999999185,True,297.0,0.6734,0.6734,True,
1983-04-15,,0.1115,0.1117,0.0002,0.00019999999999999185,True,298.0,0.6711,0.6711,True,
1983-04-16,,0.1087,0.1089,0.0002,0.00019999999999999185,True,398.0,0.5025,0.5025,True,
1983-04-17,,0.1123,0.1125,0.0002,0.00020000000000000573,True,397.0,0.5038,0.5038,True,
1983-04-18,,0.1097,0.1105,0.0008,0.0007999999999999952,True,398.0,2.0101,2.01,True,
1983-04-19,,0.1096,0.112,0.0024,0.0023999999999999994,True,191.0,12.5654,12.57,True,
1983-04-20,,0.1108,0.1128,0.002,0.0020000000000000018,True,258.0,7.7519,7.752,True,
1983-04-21,,0.107,0.1132,0.0062,0.006199999999999997,True,260.0,23.8462,23.85,True,
1983-04-22,,0.1111,0.1166,0.0055,0.005499999999999991,True,261.0,21.0728,21.07,True,
1983-04-23,,0.11,0.1201,0.0101,0.010099999999999998,True,259.0,38.9961,39.0,True,
1983-04-24,,0.107,0.1286,0.0216,0.021599999999999994,True,258.0,83.7209,83.72,True,
1983-04-25,,0.1112,0.1165,0.0053,0.005300000000000013,True,375.0,14.1333,14.13,True,
1983-04-26,,0.1069,0.1092,0.0023,0.0023000000000000104,True,374.0,6.1497,6.15,True,
1983-04-27,,0.1092,0.1114,0.0022,0.0021999999999999936,True,376.0,5.8511,5.851,True,
1983-04-28,,0.1071,0.1089,0.0018,0.001799999999999996,True,375.0,4.8,4.8,True,
1983-04-29,,0.1076,0.109,0.0014,0.0013999999999999985,True,377.0,3.7135,3.714,True,
1983-04-30,,0.1105,0.1126,0.0021,0.0021000000000000046,True,374.0,5.615,5.615,True,
1983-05-01,,0.1067,0.1094,0.0027,0.002699999999999994,True,380.0,7.1053,7.105,True,
1983-05-02,,0.109,0.1119,0.0029,0.0029,True,379.0,7.6517,7.652,True,
1983-05-03,,0.1081,0.1107,0.0026,0.002600000000000005,True,381.0,6.8241,6.824,True,
1983-05-04,,0.111,0.1131,0.0021,0.0021000000000000046,True,378.0,5.5556,5.556,True,
1983-05-05,,0.1119,0.12,0.0081,0.008099999999999996,True,380.0,21.3158,21.32,True,
1983-05-06,,0.1089,0.1129,0.004,0.0040000000000000036,True,382.0,10.4712,10.47,True,
1983-05-07,,0.1087,0.1098,0.0011,0.0010999999999999899,True,380.0,2.8947,2.895,True,
